from_external_ref,from_type,to_external_ref,to_type,edge_type,verified,weight_base
KR:COMPANY:NH_INVESTMENT_SECURITIES,org,KR-CITY-SEOUL,org,located_in,false,1
KR:COMPANY:NH_INVESTMENT_SECURITIES,org,KR-IND-FINANCE,org,in_industry,false,1
KR:COMPANY:KOREA_INVESTMENT,org,KR-CITY-SEOUL,org,located_in,false,1
KR:COMPANY:KOREA_INVESTMENT,org,KR-IND-FINANCE,org,in_industry,false,1
KR:COMPANY:KEPCO,org,KR-CITY-NAJU,org,located_in,false,1
KR:COMPANY:KEPCO,org,KR-IND-ENERGY,org,in_industry,false,1
KR:COMPANY:KOGAS,org,KR-CITY-DAEGU,org,located_in,false,1
KR:COMPANY:KOGAS,org,KR-IND-ENERGY,org,in_industry,false,1
KR:COMPANY:S_OIL,org,KR-CITY-SEOUL,org,located_in,false,1
KR:COMPANY:S_OIL,org,KR-IND-ENERGY,org,in_industry,false,1
KR:COMPANY:SK_INNOVATION,org,KR-CITY-SEOUL,org,located_in,false,1
KR:COMPANY:SK_INNOVATION,org,KR-IND-ENERGY,org,in_industry,false,1
KR:COMPANY:SK,org,KR-CITY-SEOUL,org,located_in,false,1
KR:COMPANY:SK,org,KR-IND-HOLDING,org,in_industry,false,1
KR:COMPANY:SK_TELECOM,org,KR-CITY-SEOUL,org,located_in,false,1
KR:COMPANY:SK_TELECOM,org,KR-IND-TELECOM,org,in_industry,false,1
KR:COMPANY:KT,org,KR-CITY-SEONGNAM,org,located_in,false,1
KR:COMPANY:KT,org,KR-IND-TELECOM,org,in_industry,false,1
KR:COMPANY:LG_UPLUS,org,KR-CITY-SEOUL,org,located_in,false,1
KR:COMPANY:LG_UPLUS,org,KR-IND-TELECOM,org,in_industry,false,1
KR:COMPANY:HANWHA_AEROSPACE,org,KR-CITY-CHANGWON,org,located_in,false,1
KR:COMPANY:HANWHA_AEROSPACE,org,KR-IND-DEFENSE,org,in_industry,false,1
KR:COMPANY:HANWHA_SOLUTIONS,org,KR-CITY-SEOUL,org,located_in,false,1
KR:COMPANY:HANWHA_SOLUTIONS,org,KR-IND-ENERGY,org,in_industry,false,1
KR:COMPANY:HANWHA_OCEAN,org,KR-CITY-GEOJE,org,located_in,false,1
KR:COMPANY:HANWHA_OCEAN,org,KR-IND-SHIPBUILDING,org,in_industry,false,1
KR:COMPANY:HD_HYUNDAI,org,KR-CITY-SEONGNAM,org,located_in,false,1
KR:COMPANY:HD_HYUNDAI,org,KR-IND-SHIPBUILDING,org,in_industry,false,1
KR:COMPANY:HYUNDAI_MOBIS,org,KR-CITY-SEOUL,org,located_in,false,1
KR:COMPANY:HYUNDAI_MOBIS,org,KR-IND-AUTOMOTIVE,org,in_industry,false,1
KR:COMPANY:HYUNDAI_STEEL,org,KR-CITY-INCHEON,org,located_in,false,1
KR:COMPANY:HYUNDAI_STEEL,org,KR-IND-STEEL,org,in_industry,false,1
KR:COMPANY:HYUNDAI_EC,org,KR-CITY-SEOUL,org,located_in,false,1
KR:COMPANY:HYUNDAI_EC,org,KR-IND-CONSTRUCTION,org,in_industry,false,1
KR:COMPANY:DOOSAN_ENERBILITY,org,KR-CITY-CHANGWON,org,located_in,false,1
KR:COMPANY:DOOSAN_ENERBILITY,org,KR-IND-ENERGY,org,in_industry,false,1
KR:COMPANY:DOOSAN_BOBCAT,org,KR-CITY-SEONGNAM,org,located_in,false,1
KR:COMPANY:DOOSAN_BOBCAT,org,KR-IND-INDUSTRIAL,org,in_industry,false,1
KR:COMPANY:LOTTE_CHEMICAL,org,KR-CITY-SEOUL,org,located_in,false,1
KR:COMPANY:LOTTE_CHEMICAL,org,KR-IND-CHEMICALS,org,in_industry,false,1
KR:COMPANY:LOTTE_SHOPPING,org,KR-CITY-SEOUL,org,located_in,false,1
KR:COMPANY:LOTTE_SHOPPING,org,KR-IND-RETAIL,org,in_industry,false,1
KR:COMPANY:LOTTE,org,KR-CITY-SEOUL,org,located_in,false,1
KR:COMPANY:LOTTE,org,KR-IND-HOLDING,org,in_industry,false,1
KR:COMPANY:GS,org,KR-CITY-SEOUL,org,located_in,false,1
KR:COMPANY:GS,org,KR-IND-HOLDING,org,in_industry,false,1
KR:COMPANY:GS_CALTEXT,org,KR-CITY-SEOUL,org,located_in,false,1
KR:COMPANY:GS_CALTEXT,org,KR-IND-ENERGY,org,in_industry,false,1
KR:COMPANY:CJ,org,KR-CITY-SEOUL,org,located_in,false,1
KR:COMPANY:CJ,org,KR-IND-HOLDING,org,in_industry,false,1
KR:COMPANY:CJ_CHEILJEDANG,org,KR-CITY-SEOUL,org,located_in,false,1
KR:COMPANY:CJ_CHEILJEDANG,org,KR-IND-FOOD,org,in_industry,false,1
KR:COMPANY:CJ_ENM,org,KR-CITY-SEOUL,org,located_in,false,1
KR:COMPANY:CJ_ENM,org,KR-IND-MEDIA,org,in_industry,false,1
KR:COMPANY:KOREAN_AIR,org,KR-CITY-SEOUL,org,located_in,false,1
KR:COMPANY:KOREAN_AIR,org,KR-IND-AVIATION,org,in_industry,false,1
KR:COMPANY:ASIANA,org,KR-CITY-SEOUL,org,located_in,false,1
KR:COMPANY:ASIANA,org,KR-IND-AVIATION,org,in_industry,false,1
KR:COMPANY:HMM,org,KR-CITY-SEOUL,org,located_in,false,1
KR:COMPANY:HMM,org,KR-IND-LOGISTICS,org,in_industry,false,1
KR:COMPANY:KOREA_ZINC,org,KR-CITY-ULSAN,org,located_in,false,1
KR:COMPANY:KOREA_ZINC,org,KR-IND-MATERIALS,org,in_industry,false,1
KR:COMPANY:KCC,org,KR-CITY-SEOUL,org,located_in,false,1
KR:COMPANY:KCC,org,KR-IND-MATERIALS,org,in_industry,false,1
KR:COMPANY:LS,org,KR-CITY-ANYANG,org,located_in,false,1
KR:COMPANY:LS,org,KR-IND-INDUSTRIAL,org,in_industry,false,1
KR:COMPANY:LS_ELECTRIC,org,KR-CITY-ANYANG,org,located_in,false,1
KR:COMPANY:LS_ELECTRIC,org,KR-IND-INDUSTRIAL,org,in_industry,false,1
KR:COMPANY:SK_SQUARE,org,KR-CITY-SEOUL,org,located_in,false,1
KR:COMPANY:SK_SQUARE,org,KR-IND-HOLDING,org,in_industry,false,1
KR:COMPANY:SKC,org,KR-CITY-SEOUL,org,located_in,false,1
KR:COMPANY:SKC,org,KR-IND-CHEMICALS,org,in_industry,false,1
KR:COMPANY:SK_BIOPHARMACEUTICALS,org,KR-CITY-SEOUL,org,located_in,false,1
KR:COMPANY:SK_BIOPHARMACEUTICALS,org,KR-IND-BIOTECH,org,in_industry,false,1
KR:COMPANY:YUHAN,org,KR-CITY-SEOUL,org,located_in,false,1
KR:COMPANY:YUHAN,org,KR-IND-BIOTECH,org,in_industry,false,1
KR:COMPANY:GREEN_CROSS,org,KR-CITY-YONGIN,org,located_in,false,1
KR:COMPANY:GREEN_CROSS,org,KR-IND-BIOTECH,org,in_industry,false,1
KR:COMPANY:AMOREPACIFIC,org,KR-CITY-SEOUL,org,located_in,false,1
KR:COMPANY:AMOREPACIFIC,org,KR-IND-CONSUMER,org,in_industry,false,1
KR:COMPANY:LG_HNH,org,KR-CITY-SEOUL,org,located_in,false,1
KR:COMPANY:LG_HNH,org,KR-IND-CONSUMER,org,in_industry,false,1
KR:COMPANY:COWAY,org,KR-CITY-SEOUL,org,located_in,false,1
KR:COMPANY:COWAY,org,KR-IND-CONSUMER,org,in_industry,false,1
KR:COMPANY:ORION,org,KR-CITY-SEOUL,org,located_in,false,1
KR:COMPANY:ORION,org,KR-IND-FOOD,org,in_industry,false,1
KR:COMPANY:OTTOGI,org,KR-CITY-ANYANG,org,located_in,false,1
KR:COMPANY:OTTOGI,org,KR-IND-FOOD,org,in_industry,false,1
KR:COMPANY:DAESANG,org,KR-CITY-SEOUL,org,located_in,false,1
KR:COMPANY:DAESANG,org,KR-IND-FOOD,org,in_industry,false,1
KR:COMPANY:KTG,org,KR-CITY-DAEJEON,org,located_in,false,1
KR:COMPANY:KTG,org,KR-IND-CONSUMER,org,in_industry,false,1
KR:COMPANY:HYBE,org,KR-CITY-SEOUL,org,located_in,false,1
KR:COMPANY:HYBE,org,KR-IND-MEDIA,org,in_industry,false,1
KR:COMPANY:KRAFTON,org,KR-CITY-SEONGNAM,org,located_in,false,1
KR:COMPANY:KRAFTON,org,KR-IND-GAME,org,in_industry,false,1
KR:COMPANY:NCSOFT,org,KR-CITY-SEONGNAM,org,located_in,false,1
KR:COMPANY:NCSOFT,org,KR-IND-GAME,org,in_industry,false,1
KR:COMPANY:NETMARBLE,org,KR-CITY-SEOUL,org,located_in,false,1
KR:COMPANY:NETMARBLE,org,KR-IND-GAME,org,in_industry,false,1
KR:COMPANY:PEARL_ABYSS,org,KR-CITY-GWACHEON,org,located_in,false,1
KR:COMPANY:PEARL_ABYSS,org,KR-IND-GAME,org,in_industry,false,1
KR:COMPANY:KAKAO_GAMES,org,KR-CITY-SEONGNAM,org,located_in,false,1
KR:COMPANY:KAKAO_GAMES,org,KR-IND-GAME,org,in_industry,false,1
KR:COMPANY:SAMSUNG_HEAVY,org,KR-CITY-GEOJE,org,located_in,false,1
KR:COMPANY:SAMSUNG_HEAVY,org,KR-IND-SHIPBUILDING,org,in_industry,false,1
KR:COMPANY:HYUNDAI_HEAVY,org,KR-CITY-ULSAN,org,located_in,false,1
KR:COMPANY:HYUNDAI_HEAVY,org,KR-IND-SHIPBUILDING,org,in_industry,false,1
KR:COMPANY:DSME,org,KR-CITY-GEOJE,org,located_in,false,1
KR:COMPANY:DSME,org,KR-IND-SHIPBUILDING,org,in_industry,false,1
KR:COMPANY:DB_INSURANCE,org,KR-CITY-SEOUL,org,located_in,false,1
KR:COMPANY:DB_INSURANCE,org,KR-IND-FINANCE,org,in_industry,false,1
KR:COMPANY:MERITZ_FINANCIAL,org,KR-CITY-SEOUL,org,located_in,false,1
KR:COMPANY:MERITZ_FINANCIAL,org,KR-IND-FINANCE,org,in_industry,false,1
KR:COMPANY:KDB,org,KR-CITY-SEOUL,org,located_in,false,1
KR:COMPANY:KDB,org,KR-IND-FINANCE,org,in_industry,false,1
KR:COMPANY:KAKAOBANK,org,KR-CITY-SEONGNAM,org,located_in,false,1
KR:COMPANY:KAKAOBANK,org,KR-IND-FINANCE,org,in_industry,false,1
KR:COMPANY:NHN,org,KR-CITY-SEONGNAM,org,located_in,false,1
KR:COMPANY:NHN,org,KR-IND-PLATFORM,org,in_industry,false,1
KR:COMPANY:KAKAO_MOBILITY,org,KR-CITY-SEOUL,org,located_in,false,1
KR:COMPANY:KAKAO_MOBILITY,org,KR-IND-MOBILITY,org,in_industry,false,1
KR:COMPANY:SAMSUNG_DISPLAY,org,KR-CITY-ASAN,org,located_in,false,1
KR:COMPANY:SAMSUNG_DISPLAY,org,KR-IND-ELECTRONICS,org,in_industry,false,1
KR:COMPANY:LG_DISPLAY,org,KR-CITY-PAJU,org,located_in,false,1
KR:COMPANY:LG_DISPLAY,org,KR-IND-ELECTRONICS,org,in_industry,false,1
KR:COMPANY:LG_INNOTEK,org,KR-CITY-SEOUL,org,located_in,false,1
KR:COMPANY:LG_INNOTEK,org,KR-IND-ELECTRONICS,org,in_industry,false,1
KR-COMP-SAMSUNG-ELECTRONICS,org,KR-CITY-SEOUL,org,located_in,false,1
KR-COMP-SAMSUNG-ELECTRONICS,org,KR-IND-SEMICONDUCTOR,org,in_industry,false,1
KR-COMP-SK-HYNIX,org,KR-CITY-ICHEON,org,located_in,false,1
KR-COMP-SK-HYNIX,org,KR-IND-SEMICONDUCTOR,org,in_industry,false,1
KR-COMP-LG-ELECTRONICS,org,KR-CITY-SEOUL,org,located_in,false,1
KR-COMP-LG-ELECTRONICS,org,KR-IND-ELECTRONICS,org,in_industry,false,1
KR-COMP-HYUNDAI-MOTOR,org,KR-CITY-SEOUL,org,located_in,false,1
KR-COMP-HYUNDAI-MOTOR,org,KR-IND-MOBILITY,org,in_industry,false,1
KR-COMP-KIA,org,KR-CITY-SEOUL,org,located_in,false,1
KR-COMP-KIA,org,KR-IND-MOBILITY,org,in_industry,false,1
KR-COMP-NAVER,org,KR-CITY-SEONGNAM,org,located_in,false,1
KR-COMP-NAVER,org,KR-IND-IT,org,in_industry,false,1
KR-COMP-KAKAO,org,KR-CITY-SEONGNAM,org,located_in,false,1
KR-COMP-KAKAO,org,KR-IND-IT,org,in_industry,false,1
KR-COMP-KB-FINANCIAL,org,KR-CITY-SEOUL,org,located_in,false,1
KR-COMP-KB-FINANCIAL,org,KR-IND-FINANCE,org,in_industry,false,1
KR-COMP-SHINHAN-FINANCIAL,org,KR-CITY-SEOUL,org,located_in,false,1
KR-COMP-SHINHAN-FINANCIAL,org,KR-IND-FINANCE,org,in_industry,false,1
KR-COMP-NH-INVESTMENT,org,KR-CITY-SEOUL,org,located_in,false,1
KR-COMP-NH-INVESTMENT,org,KR-IND-FINANCE,org,in_industry,false,1
KR-COMP-SK-HYNIX,org,KR:COMPANY:SK_HYNIX,org,same_city,false,0.14
KR:COMPANY:SK_HYNIX,org,KR-COMP-SK-HYNIX,org,same_city,false,0.14
KR-COMP-HYUNDAI-MOTOR,org,KR-COMP-KB-FINANCIAL,org,same_city,false,0.14
KR-COMP-KB-FINANCIAL,org,KR-COMP-HYUNDAI-MOTOR,org,same_city,false,0.14
KR-COMP-HYUNDAI-MOTOR,org,KR-COMP-KIA,org,same_city,false,0.14
KR-COMP-KIA,org,KR-COMP-HYUNDAI-MOTOR,org,same_city,false,0.14
KR-COMP-HYUNDAI-MOTOR,org,KR-COMP-LG-ELECTRONICS,org,same_city,false,0.14
KR-COMP-LG-ELECTRONICS,org,KR-COMP-HYUNDAI-MOTOR,org,same_city,false,0.14
KR-COMP-HYUNDAI-MOTOR,org,KR-COMP-NH-INVESTMENT,org,same_city,false,0.14
KR-COMP-NH-INVESTMENT,org,KR-COMP-HYUNDAI-MOTOR,org,same_city,false,0.14
KR-COMP-HYUNDAI-MOTOR,org,KR-COMP-SAMSUNG-ELECTRONICS,org,same_city,false,0.14
KR-COMP-SAMSUNG-ELECTRONICS,org,KR-COMP-HYUNDAI-MOTOR,org,same_city,false,0.14
KR-COMP-HYUNDAI-MOTOR,org,KR-COMP-SHINHAN-FINANCIAL,org,same_city,false,0.14
KR-COMP-SHINHAN-FINANCIAL,org,KR-COMP-HYUNDAI-MOTOR,org,same_city,false,0.14
KR-COMP-HYUNDAI-MOTOR,org,KR:COMPANY:AMOREPACIFIC,org,same_city,false,0.14
KR:COMPANY:AMOREPACIFIC,org,KR-COMP-HYUNDAI-MOTOR,org,same_city,false,0.14
KR-COMP-HYUNDAI-MOTOR,org,KR:COMPANY:ASIANA,org,same_city,false,0.14
KR:COMPANY:ASIANA,org,KR-COMP-HYUNDAI-MOTOR,org,same_city,false,0.14
KR-COMP-HYUNDAI-MOTOR,org,KR:COMPANY:CJ,org,same_city,false,0.14
KR:COMPANY:CJ,org,KR-COMP-HYUNDAI-MOTOR,org,same_city,false,0.14
KR-COMP-HYUNDAI-MOTOR,org,KR:COMPANY:CJ_CHEILJEDANG,org,same_city,false,0.14
KR:COMPANY:CJ_CHEILJEDANG,org,KR-COMP-HYUNDAI-MOTOR,org,same_city,false,0.14
KR-COMP-HYUNDAI-MOTOR,org,KR:COMPANY:CJ_ENM,org,same_city,false,0.14
KR:COMPANY:CJ_ENM,org,KR-COMP-HYUNDAI-MOTOR,org,same_city,false,0.14
KR-COMP-HYUNDAI-MOTOR,org,KR:COMPANY:COWAY,org,same_city,false,0.14
KR:COMPANY:COWAY,org,KR-COMP-HYUNDAI-MOTOR,org,same_city,false,0.14
KR-COMP-KB-FINANCIAL,org,KR-COMP-KIA,org,same_city,false,0.14
KR-COMP-KIA,org,KR-COMP-KB-FINANCIAL,org,same_city,false,0.14
KR-COMP-KB-FINANCIAL,org,KR-COMP-LG-ELECTRONICS,org,same_city,false,0.14
KR-COMP-LG-ELECTRONICS,org,KR-COMP-KB-FINANCIAL,org,same_city,false,0.14
KR-COMP-KB-FINANCIAL,org,KR-COMP-NH-INVESTMENT,org,same_city,false,0.14
KR-COMP-NH-INVESTMENT,org,KR-COMP-KB-FINANCIAL,org,same_city,false,0.14
KR-COMP-KB-FINANCIAL,org,KR-COMP-SAMSUNG-ELECTRONICS,org,same_city,false,0.14
KR-COMP-SAMSUNG-ELECTRONICS,org,KR-COMP-KB-FINANCIAL,org,same_city,false,0.14
KR-COMP-KB-FINANCIAL,org,KR-COMP-SHINHAN-FINANCIAL,org,same_city,false,0.14
KR-COMP-SHINHAN-FINANCIAL,org,KR-COMP-KB-FINANCIAL,org,same_city,false,0.14
KR-COMP-KB-FINANCIAL,org,KR:COMPANY:AMOREPACIFIC,org,same_city,false,0.14
KR:COMPANY:AMOREPACIFIC,org,KR-COMP-KB-FINANCIAL,org,same_city,false,0.14
KR-COMP-KB-FINANCIAL,org,KR:COMPANY:ASIANA,org,same_city,false,0.14
KR:COMPANY:ASIANA,org,KR-COMP-KB-FINANCIAL,org,same_city,false,0.14
KR-COMP-KB-FINANCIAL,org,KR:COMPANY:CJ,org,same_city,false,0.14
KR:COMPANY:CJ,org,KR-COMP-KB-FINANCIAL,org,same_city,false,0.14
KR-COMP-KB-FINANCIAL,org,KR:COMPANY:CJ_CHEILJEDANG,org,same_city,false,0.14
KR:COMPANY:CJ_CHEILJEDANG,org,KR-COMP-KB-FINANCIAL,org,same_city,false,0.14
KR-COMP-KB-FINANCIAL,org,KR:COMPANY:CJ_ENM,org,same_city,false,0.14
KR:COMPANY:CJ_ENM,org,KR-COMP-KB-FINANCIAL,org,same_city,false,0.14
KR-COMP-KB-FINANCIAL,org,KR:COMPANY:COWAY,org,same_city,false,0.14
KR:COMPANY:COWAY,org,KR-COMP-KB-FINANCIAL,org,same_city,false,0.14
KR-COMP-KB-FINANCIAL,org,KR:COMPANY:DAESANG,org,same_city,false,0.14
KR:COMPANY:DAESANG,org,KR-COMP-KB-FINANCIAL,org,same_city,false,0.14
KR-COMP-KIA,org,KR-COMP-LG-ELECTRONICS,org,same_city,false,0.14
KR-COMP-LG-ELECTRONICS,org,KR-COMP-KIA,org,same_city,false,0.14
KR-COMP-KIA,org,KR-COMP-NH-INVESTMENT,org,same_city,false,0.14
KR-COMP-NH-INVESTMENT,org,KR-COMP-KIA,org,same_city,false,0.14
KR-COMP-KIA,org,KR-COMP-SAMSUNG-ELECTRONICS,org,same_city,false,0.14
KR-COMP-SAMSUNG-ELECTRONICS,org,KR-COMP-KIA,org,same_city,false,0.14
KR-COMP-KIA,org,KR-COMP-SHINHAN-FINANCIAL,org,same_city,false,0.14
KR-COMP-SHINHAN-FINANCIAL,org,KR-COMP-KIA,org,same_city,false,0.14
KR-COMP-KIA,org,KR:COMPANY:AMOREPACIFIC,org,same_city,false,0.14
KR:COMPANY:AMOREPACIFIC,org,KR-COMP-KIA,org,same_city,false,0.14
KR-COMP-KIA,org,KR:COMPANY:ASIANA,org,same_city,false,0.14
KR:COMPANY:ASIANA,org,KR-COMP-KIA,org,same_city,false,0.14
KR-COMP-KIA,org,KR:COMPANY:CJ,org,same_city,false,0.14
KR:COMPANY:CJ,org,KR-COMP-KIA,org,same_city,false,0.14
KR-COMP-KIA,org,KR:COMPANY:CJ_CHEILJEDANG,org,same_city,false,0.14
KR:COMPANY:CJ_CHEILJEDANG,org,KR-COMP-KIA,org,same_city,false,0.14
KR-COMP-KIA,org,KR:COMPANY:CJ_ENM,org,same_city,false,0.14
KR:COMPANY:CJ_ENM,org,KR-COMP-KIA,org,same_city,false,0.14
KR-COMP-KIA,org,KR:COMPANY:COWAY,org,same_city,false,0.14
KR:COMPANY:COWAY,org,KR-COMP-KIA,org,same_city,false,0.14
KR-COMP-KIA,org,KR:COMPANY:DAESANG,org,same_city,false,0.14
KR:COMPANY:DAESANG,org,KR-COMP-KIA,org,same_city,false,0.14
KR-COMP-KIA,org,KR:COMPANY:DB_INSURANCE,org,same_city,false,0.14
KR:COMPANY:DB_INSURANCE,org,KR-COMP-KIA,org,same_city,false,0.14
KR-COMP-LG-ELECTRONICS,org,KR-COMP-NH-INVESTMENT,org,same_city,false,0.14
KR-COMP-NH-INVESTMENT,org,KR-COMP-LG-ELECTRONICS,org,same_city,false,0.14
KR-COMP-LG-ELECTRONICS,org,KR-COMP-SAMSUNG-ELECTRONICS,org,same_city,false,0.14
KR-COMP-SAMSUNG-ELECTRONICS,org,KR-COMP-LG-ELECTRONICS,org,same_city,false,0.14
KR-COMP-LG-ELECTRONICS,org,KR-COMP-SHINHAN-FINANCIAL,org,same_city,false,0.14
KR-COMP-SHINHAN-FINANCIAL,org,KR-COMP-LG-ELECTRONICS,org,same_city,false,0.14
KR-COMP-LG-ELECTRONICS,org,KR:COMPANY:AMOREPACIFIC,org,same_city,false,0.14
KR:COMPANY:AMOREPACIFIC,org,KR-COMP-LG-ELECTRONICS,org,same_city,false,0.14
KR-COMP-LG-ELECTRONICS,org,KR:COMPANY:ASIANA,org,same_city,false,0.14
KR:COMPANY:ASIANA,org,KR-COMP-LG-ELECTRONICS,org,same_city,false,0.14
KR-COMP-LG-ELECTRONICS,org,KR:COMPANY:CJ,org,same_city,false,0.14
KR:COMPANY:CJ,org,KR-COMP-LG-ELECTRONICS,org,same_city,false,0.14
KR-COMP-LG-ELECTRONICS,org,KR:COMPANY:CJ_CHEILJEDANG,org,same_city,false,0.14
KR:COMPANY:CJ_CHEILJEDANG,org,KR-COMP-LG-ELECTRONICS,org,same_city,false,0.14
KR-COMP-LG-ELECTRONICS,org,KR:COMPANY:CJ_ENM,org,same_city,false,0.14
KR:COMPANY:CJ_ENM,org,KR-COMP-LG-ELECTRONICS,org,same_city,false,0.14
KR-COMP-LG-ELECTRONICS,org,KR:COMPANY:COWAY,org,same_city,false,0.14
KR:COMPANY:COWAY,org,KR-COMP-LG-ELECTRONICS,org,same_city,false,0.14
KR-COMP-LG-ELECTRONICS,org,KR:COMPANY:DAESANG,org,same_city,false,0.14
KR:COMPANY:DAESANG,org,KR-COMP-LG-ELECTRONICS,org,same_city,false,0.14
KR-COMP-LG-ELECTRONICS,org,KR:COMPANY:DB_INSURANCE,org,same_city,false,0.14
KR:COMPANY:DB_INSURANCE,org,KR-COMP-LG-ELECTRONICS,org,same_city,false,0.14
KR-COMP-LG-ELECTRONICS,org,KR:COMPANY:GS,org,same_city,false,0.14
KR:COMPANY:GS,org,KR-COMP-LG-ELECTRONICS,org,same_city,false,0.14
KR-COMP-NH-INVESTMENT,org,KR-COMP-SAMSUNG-ELECTRONICS,org,same_city,false,0.14
KR-COMP-SAMSUNG-ELECTRONICS,org,KR-COMP-NH-INVESTMENT,org,same_city,false,0.14
KR-COMP-NH-INVESTMENT,org,KR-COMP-SHINHAN-FINANCIAL,org,same_city,false,0.14
KR-COMP-SHINHAN-FINANCIAL,org,KR-COMP-NH-INVESTMENT,org,same_city,false,0.14
KR-COMP-NH-INVESTMENT,org,KR:COMPANY:AMOREPACIFIC,org,same_city,false,0.14
KR:COMPANY:AMOREPACIFIC,org,KR-COMP-NH-INVESTMENT,org,same_city,false,0.14
KR-COMP-NH-INVESTMENT,org,KR:COMPANY:ASIANA,org,same_city,false,0.14
KR:COMPANY:ASIANA,org,KR-COMP-NH-INVESTMENT,org,same_city,false,0.14
KR-COMP-NH-INVESTMENT,org,KR:COMPANY:CJ,org,same_city,false,0.14
KR:COMPANY:CJ,org,KR-COMP-NH-INVESTMENT,org,same_city,false,0.14
KR-COMP-NH-INVESTMENT,org,KR:COMPANY:CJ_CHEILJEDANG,org,same_city,false,0.14
