name,type,country,city,industry,external_ref
"Korea Gas Corporation (KOGAS),company,KR,Daegu,Energy,KR:COMPANY:KOGAS"
"S-Oil,company,KR,Seoul,Energy,KR:COMPANY:S_OIL"
"SK Innovation,company,KR,Seoul,Energy,KR:COMPANY:SK_INNOVATION"
"SK,company,KR,Seoul,Holding,KR:COMPANY:SK"
"SK Telecom,company,KR,Seoul,Telecom,KR:COMPANY:SK_TELECOM"
"KT,company,KR,Seongnam,Telecom,KR:COMPANY:KT"
"LG Uplus,company,KR,Seoul,Telecom,KR:COMPANY:LG_UPLUS"
"Hanwha Aerospace,company,KR,Changwon,Defense,KR:COMPANY:HANWHA_AEROSPACE"
"Hanwha Solutions,company,KR,Seoul,Energy,KR:COMPANY:HANWHA_SOLUTIONS"
"Hanwha Ocean,company,KR,Geoje,Shipbuilding,KR:COMPANY:HANWHA_OCEAN"
"HD Hyundai,company,KR,Seongnam,Shipbuilding,KR:COMPANY:HD_HYUNDAI"
"Hyundai Mobis,company,KR,Seoul,Automotive,KR:COMPANY:HYUNDAI_MOBIS"
"Hyundai Steel,company,KR,Incheon,Steel,KR:COMPANY:HYUNDAI_STEEL"
"Hyundai Engineering & Construction,company,KR,Seoul,Construction,KR:COMPANY:HYUNDAI_EC"
"Doosan Enerbility,company,KR,Changwon,Energy,KR:COMPANY:DOOSAN_ENERBILITY"
"Doosan Bobcat,company,KR,Seongnam,Industrial,KR:COMPANY:DOOSAN_BOBCAT"
"Lotte Chemical,company,KR,Seoul,Chemicals,KR:COMPANY:LOTTE_CHEMICAL"
"Lotte Shopping,company,KR,Seoul,Retail,KR:COMPANY:LOTTE_SHOPPING"
"Lotte Corp,company,KR,Seoul,Holding,KR:COMPANY:LOTTE"
"GS Holdings,company,KR,Seoul,Holding,KR:COMPANY:GS"
"GS Caltex,company,KR,Seoul,Energy,KR:COMPANY:GS_CALTEXT"
"CJ,company,KR,Seoul,Holding,KR:COMPANY:CJ"
"CJ CheilJedang,company,KR,Seoul,Food,KR:COMPANY:CJ_CHEILJEDANG"
"CJ ENM,company,KR,Seoul,Media,KR:COMPANY:CJ_ENM"
"Korean Air,company,KR,Seoul,Aviation,KR:COMPANY:KOREAN_AIR"
"Asiana Airlines,company,KR,Seoul,Aviation,KR:COMPANY:ASIANA"
"HMM,company,KR,Seoul,Logistics,KR:COMPANY:HMM"
"Korea Zinc,company,KR,Ulsan,Materials,KR:COMPANY:KOREA_ZINC"
"KCC,company,KR,Seoul,Materials,KR:COMPANY:KCC"
"LS,company,KR,Anyang,Industrial,KR:COMPANY:LS"
"LS Electric,company,KR,Anyang,Industrial,KR:COMPANY:LS_ELECTRIC"
"SK Square,company,KR,Seoul,Holding,KR:COMPANY:SK_SQUARE"
"SKC,company,KR,Seoul,Chemicals,KR:COMPANY:SKC"
"SK Biopharmaceuticals,company,KR,Seoul,Biotech,KR:COMPANY:SK_BIOPHARMACEUTICALS"
"Yuhan,company,KR,Seoul,Biotech,KR:COMPANY:YUHAN"
"Green Cross (GC),company,KR,Yongin,Biotech,KR:COMPANY:GREEN_CROSS"
"Amorepacific,company,KR,Seoul,Consumer,KR:COMPANY:AMOREPACIFIC"
"LG Household & Health Care,company,KR,Seoul,Consumer,KR:COMPANY:LG_HNH"
"Coway,company,KR,Seoul,Consumer,KR:COMPANY:COWAY"
"Orion,company,KR,Seoul,Food,KR:COMPANY:ORION"
"Ottogi,company,KR,Anyang,Food,KR:COMPANY:OTTOGI"
"Daesang,company,KR,Seoul,Food,KR:COMPANY:DAESANG"
"KT&G,company,KR,Daejeon,Consumer,KR:COMPANY:KTG"
"Hybe,company,KR,Seoul,Media,KR:COMPANY:HYBE"
"Krafton,company,KR,Seongnam,Game,KR:COMPANY:KRAFTON"
"NCSoft,company,KR,Seongnam,Game,KR:COMPANY:NCSOFT"
"Netmarble,company,KR,Seoul,Game,KR:COMPANY:NETMARBLE"
"Pearl Abyss,company,KR,Gwacheon,Game,KR:COMPANY:PEARL_ABYSS"
"Kakao Games,company,KR,Seongnam,Game,KR:COMPANY:KAKAO_GAMES"
"Samsung Heavy Industries,company,KR,Geoje,Shipbuilding,KR:COMPANY:SAMSUNG_HEAVY"
"Hyundai Heavy Industries,company,KR,Ulsan,Shipbuilding,KR:COMPANY:HYUNDAI_HEAVY"
"Daewoo Shipbuilding & Marine Engineering,company,KR,Geoje,Shipbuilding,KR:COMPANY:DSME"
"DB Insurance,company,KR,Seoul,Finance,KR:COMPANY:DB_INSURANCE"
"Meritz Financial Group,company,KR,Seoul,Finance,KR:COMPANY:MERITZ_FINANCIAL"
"Korea Development Bank,company,KR,Seoul,Finance,KR:COMPANY:KDB"
"KakaoBank,company,KR,Seongnam,Finance,KR:COMPANY:KAKAOBANK"
"NHN,company,KR,Seongnam,Platform,KR:COMPANY:NHN"
"Kakao Mobility,company,KR,Seoul,Mobility,KR:COMPANY:KAKAO_MOBILITY"
"Samsung Display,company,KR,Asan,Electronics,KR:COMPANY:SAMSUNG_DISPLAY"
"LG Display,company,KR,Paju,Electronics,KR:COMPANY:LG_DISPLAY"
"LG Innotek,company,KR,Seoul,Electronics,KR:COMPANY:LG_INNOTEK"
